Category: All categories

Month,Major League Baseball: (Worldwide)
2004-01,13
2004-02,17
2004-03,21
2004-04,37
2004-05,31
2004-06,32
2004-07,36
2004-08,32
2004-09,39
2004-10,57
2004-11,15
2004-12,17
2005-01,15
2005-02,16
2005-03,21
2005-04,41
2005-05,36
2005-06,38
2005-07,42
2005-08,35
2005-09,35
2005-10,43
2005-11,15
2005-12,18
2006-01,14
2006-02,15
2006-03,22
2006-04,43
2006-05,38
2006-06,40
2006-07,45
2006-08,41
2006-09,36
2006-10,41
2006-11,17
2006-12,17
2007-01,13
2007-02,15
2007-03,22
2007-04,48
2007-05,42
2007-06,47
2007-07,51
2007-08,46
2007-09,45
2007-10,47
2007-11,17
2007-12,20
2008-01,14
2008-02,16
2008-03,25
2008-04,46
2008-05,42
2008-06,42
2008-07,50
2008-08,42
2008-09,42
2008-10,44
2008-11,15
2008-12,18
2009-01,16
2009-02,18
2009-03,21
2009-04,46
2009-05,44
2009-06,44
2009-07,50
2009-08,45
2009-09,38
2009-10,41
2009-11,20
2009-12,15
2010-01,12
2010-02,12
2010-03,18
2010-04,41
2010-05,40
2010-06,44
2010-07,51
2010-08,50
2010-09,47
2010-10,54
2010-11,17
2010-12,16
2011-01,11
2011-02,14
2011-03,23
2011-04,57
2011-05,49
2011-06,54
2011-07,63
2011-08,57
2011-09,60
2011-10,57
2011-11,16
2011-12,17
2012-01,14
2012-02,14
2012-03,24
2012-04,61
2012-05,57
2012-06,59
2012-07,66
2012-08,58
2012-09,61
2012-10,71
2012-11,14
2012-12,15
2013-01,12
2013-02,15
2013-03,24
2013-04,63
2013-05,62
2013-06,69
2013-07,73
2013-08,75
2013-09,65
2013-10,61
2013-11,14
2013-12,15
2014-01,12
2014-02,14
2014-03,27
2014-04,67
2014-05,67
2014-06,67
2014-07,72
2014-08,74
2014-09,72
2014-10,59
2014-11,15
2014-12,15
2015-01,12
2015-02,12
2015-03,22
2015-04,76
2015-05,81
2015-06,81
2015-07,85
2015-08,98
2015-09,95
2015-10,90
2015-11,20
2015-12,16
2016-01,12
2016-02,12
2016-03,26
2016-04,92
2016-05,98
2016-06,97
2016-07,100
2016-08,92
2016-09,95
2016-10,87
2016-11,27
2016-12,14
2017-01,11
2017-02,14
2017-03,26
2017-04,64
