Category: All categories

Week,Beyoncé: (Worldwide)
2012-04-08,14
2012-04-15,13
2012-04-22,15
2012-04-29,14
2012-05-06,13
2012-05-13,12
2012-05-20,12
2012-05-27,13
2012-06-03,11
2012-06-10,10
2012-06-17,11
2012-06-24,11
2012-07-01,12
2012-07-08,11
2012-07-15,12
2012-07-22,11
2012-07-29,11
2012-08-05,11
2012-08-12,12
2012-08-19,13
2012-08-26,11
2012-09-02,14
2012-09-09,11
2012-09-16,11
2012-09-23,11
2012-09-30,10
2012-10-07,11
2012-10-14,11
2012-10-21,10
2012-10-28,10
2012-11-04,11
2012-11-11,10
2012-11-18,10
2012-11-25,10
2012-12-02,11
2012-12-09,11
2012-12-16,10
2012-12-23,11
2012-12-30,13
2013-01-06,17
2013-01-13,14
2013-01-20,25
2013-01-27,18
2013-02-03,67
2013-02-10,32
2013-02-17,31
2013-02-24,17
2013-03-03,14
2013-03-10,13
2013-03-17,19
2013-03-24,16
2013-03-31,17
2013-04-07,17
2013-04-14,19
2013-04-21,19
2013-04-28,18
2013-05-05,19
2013-05-12,23
2013-05-19,19
2013-05-26,19
2013-06-02,15
2013-06-09,13
2013-06-16,13
2013-06-23,14
2013-06-30,15
2013-07-07,17
2013-07-14,16
2013-07-21,16
2013-07-28,14
2013-08-04,30
2013-08-11,18
2013-08-18,15
2013-08-25,13
2013-09-01,15
2013-09-08,17
2013-09-15,18
2013-09-22,13
2013-09-29,11
2013-10-06,10
2013-10-13,11
2013-10-20,12
2013-10-27,12
2013-11-03,11
2013-11-10,11
2013-11-17,11
2013-11-24,11
2013-12-01,12
2013-12-08,37
2013-12-15,53
2013-12-22,36
2013-12-29,33
2014-01-05,26
2014-01-12,25
2014-01-19,22
2014-01-26,48
2014-02-02,26
2014-02-09,30
2014-02-16,24
2014-02-23,26
2014-03-02,22
2014-03-09,21
2014-03-16,20
2014-03-23,20
2014-03-30,18
2014-04-06,17
2014-04-13,18
2014-04-20,17
2014-04-27,23
2014-05-04,18
2014-05-11,41
2014-05-18,21
2014-05-25,18
2014-06-01,16
2014-06-08,15
2014-06-15,15
2014-06-22,16
2014-06-29,19
2014-07-06,16
2014-07-13,15
2014-07-20,21
2014-07-27,19
2014-08-03,26
2014-08-10,18
2014-08-17,19
2014-08-24,39
2014-08-31,21
2014-09-07,18
2014-09-14,19
2014-09-21,18
2014-09-28,17
2014-10-05,13
2014-10-12,14
2014-10-19,13
2014-10-26,13
2014-11-02,15
2014-11-09,15
2014-11-16,17
2014-11-23,19
2014-11-30,16
2014-12-07,17
2014-12-14,15
2014-12-21,16
2014-12-28,16
2015-01-04,14
2015-01-11,16
2015-01-18,13
2015-01-25,13
2015-02-01,15
2015-02-08,24
2015-02-15,21
2015-02-22,16
2015-03-01,13
2015-03-08,12
2015-03-15,11
2015-03-22,11
2015-03-29,13
2015-04-05,12
2015-04-12,11
2015-04-19,11
2015-04-26,11
2015-05-03,19
2015-05-10,12
2015-05-17,18
2015-05-24,13
2015-05-31,11
2015-06-07,13
2015-06-14,11
2015-06-21,11
2015-06-28,11
2015-07-05,10
2015-07-12,10
2015-07-19,11
2015-07-26,10
2015-08-02,11
2015-08-09,11
2015-08-16,10
2015-08-23,10
2015-08-30,13
2015-09-06,13
2015-09-13,12
2015-09-20,11
2015-09-27,11
2015-10-04,10
2015-10-11,10
2015-10-18,13
2015-10-25,11
2015-11-01,10
2015-11-08,10
2015-11-15,9
2015-11-22,10
2015-11-29,10
2015-12-06,9
2015-12-13,9
2015-12-20,10
2015-12-27,10
2016-01-03,13
2016-01-10,12
2016-01-17,10
2016-01-24,11
2016-01-31,13
2016-02-07,82
2016-02-14,32
2016-02-21,18
2016-02-28,14
2016-03-06,13
2016-03-13,11
2016-03-20,13
2016-03-27,13
2016-04-03,12
2016-04-10,12
2016-04-17,14
2016-04-24,100
2016-05-01,37
2016-05-08,24
2016-05-15,21
2016-05-22,19
2016-05-29,16
2016-06-05,18
2016-06-12,15
2016-06-19,15
2016-06-26,20
2016-07-03,17
2016-07-10,15
2016-07-17,15
2016-07-24,14
2016-07-31,14
2016-08-07,11
2016-08-14,11
2016-08-21,11
2016-08-28,27
2016-09-04,18
2016-09-11,13
2016-09-18,12
2016-09-25,11
2016-10-02,11
2016-10-09,11
2016-10-16,13
2016-10-23,11
2016-10-30,18
2016-11-06,13
2016-11-13,9
2016-11-20,11
2016-11-27,9
2016-12-04,9
2016-12-11,9
2016-12-18,9
2016-12-25,10
2017-01-01,9
2017-01-08,9
2017-01-15,9
2017-01-22,8
2017-01-29,43
2017-02-05,16
2017-02-12,39
2017-02-19,14
2017-02-26,11
2017-03-05,10
2017-03-12,9
2017-03-19,9
2017-03-26,8
2017-04-02,11
