Category: All categories

Week,Supreme Court of the United States: (Worldwide)
2012-04-08,12
2012-04-15,12
2012-04-22,14
2012-04-29,12
2012-05-06,11
2012-05-13,10
2012-05-20,10
2012-05-27,9
2012-06-03,10
2012-06-10,12
2012-06-17,19
2012-06-24,95
2012-07-01,16
2012-07-08,9
2012-07-15,8
2012-07-22,7
2012-07-29,6
2012-08-05,6
2012-08-12,6
2012-08-19,8
2012-08-26,8
2012-09-02,9
2012-09-09,9
2012-09-16,10
2012-09-23,11
2012-09-30,13
2012-10-07,14
2012-10-14,12
2012-10-21,12
2012-10-28,12
2012-11-04,17
2012-11-11,11
2012-11-18,8
2012-11-25,13
2012-12-02,16
2012-12-09,14
2012-12-16,10
2012-12-23,5
2012-12-30,7
2013-01-06,10
2013-01-13,13
2013-01-20,13
2013-01-27,12
2013-02-03,12
2013-02-10,12
2013-02-17,12
2013-02-24,14
2013-03-03,12
2013-03-10,11
2013-03-17,13
2013-03-24,52
2013-03-31,15
2013-04-07,12
2013-04-14,14
2013-04-21,12
2013-04-28,12
2013-05-05,12
2013-05-12,12
2013-05-19,9
2013-05-26,8
2013-06-02,10
2013-06-09,12
2013-06-16,16
2013-06-23,75
2013-06-30,12
2013-07-07,9
2013-07-14,9
2013-07-21,7
2013-07-28,7
2013-08-04,6
2013-08-11,7
2013-08-18,7
2013-08-25,8
2013-09-01,8
2013-09-08,9
2013-09-15,9
2013-09-22,11
2013-09-29,11
2013-10-06,12
2013-10-13,10
2013-10-20,11
2013-10-27,10
2013-11-03,10
2013-11-10,11
2013-11-17,11
2013-11-24,8
2013-12-01,12
2013-12-08,13
2013-12-15,10
2013-12-22,4
2013-12-29,6
2014-01-05,9
2014-01-12,10
2014-01-19,9
2014-01-26,11
2014-02-02,9
2014-02-09,10
2014-02-16,9
2014-02-23,12
2014-03-02,10
2014-03-09,10
2014-03-16,9
2014-03-23,14
2014-03-30,14
2014-04-06,11
2014-04-13,10
2014-04-20,15
2014-04-27,13
2014-05-04,14
2014-05-11,10
2014-05-18,9
2014-05-25,8
2014-06-01,8
2014-06-08,7
2014-06-15,9
2014-06-22,16
2014-06-29,33
2014-07-06,10
2014-07-13,7
2014-07-20,7
2014-07-27,6
2014-08-03,6
2014-08-10,6
2014-08-17,7
2014-08-24,7
2014-08-31,8
2014-09-07,9
2014-09-14,9
2014-09-21,10
2014-09-28,11
2014-10-05,16
2014-10-12,11
2014-10-19,11
2014-10-26,11
2014-11-02,13
2014-11-09,11
2014-11-16,11
2014-11-23,8
2014-11-30,12
2014-12-07,12
2014-12-14,10
2014-12-21,5
2014-12-28,5
2015-01-04,8
2015-01-11,11
2015-01-18,11
2015-01-25,9
2015-02-01,10
2015-02-08,11
2015-02-15,9
2015-02-22,11
2015-03-01,13
2015-03-08,11
2015-03-15,10
2015-03-22,11
2015-03-29,10
2015-04-05,10
2015-04-12,11
2015-04-19,12
2015-04-26,24
2015-05-03,13
2015-05-10,12
2015-05-17,10
2015-05-24,9
2015-05-31,11
2015-06-07,12
2015-06-14,14
2015-06-21,100
2015-06-28,45
2015-07-05,12
2015-07-12,9
2015-07-19,8
2015-07-26,8
2015-08-02,7
2015-08-09,7
2015-08-16,7
2015-08-23,8
2015-08-30,10
2015-09-06,10
2015-09-13,11
2015-09-20,11
2015-09-27,11
2015-10-04,12
2015-10-11,10
2015-10-18,10
2015-10-25,11
2015-11-01,12
2015-11-08,10
2015-11-15,11
2015-11-22,7
2015-11-29,11
2015-12-06,15
2015-12-13,12
2015-12-20,6
2015-12-27,5
2016-01-03,10
2016-01-10,13
2016-01-17,12
2016-01-24,13
2016-01-31,12
2016-02-07,23
2016-02-14,68
2016-02-21,24
2016-02-28,19
2016-03-06,16
2016-03-13,26
2016-03-20,15
2016-03-27,14
2016-04-03,14
2016-04-10,12
2016-04-17,15
2016-04-24,14
2016-05-01,18
2016-05-08,16
2016-05-15,15
2016-05-22,10
2016-05-29,8
2016-06-05,9
2016-06-12,8
2016-06-19,23
2016-06-26,33
2016-07-03,10
2016-07-10,11
2016-07-17,9
2016-07-24,10
2016-07-31,8
2016-08-07,7
2016-08-14,7
2016-08-21,8
2016-08-28,9
2016-09-04,9
2016-09-11,11
2016-09-18,13
2016-09-25,13
2016-10-02,13
2016-10-09,15
2016-10-16,17
2016-10-23,16
2016-10-30,16
2016-11-06,36
2016-11-13,26
2016-11-20,11
2016-11-27,16
2016-12-04,18
2016-12-11,13
2016-12-18,8
2016-12-25,5
2017-01-01,11
2017-01-08,12
2017-01-15,14
2017-01-22,19
2017-01-29,57
2017-02-05,21
2017-02-12,17
2017-02-19,15
2017-02-26,15
2017-03-05,14
2017-03-12,12
2017-03-19,22
2017-03-26,21
2017-04-02,29
